 ,Auditor,Close Date,ICO Size ($mn),Cumulative ICO Funding ($mn),coinmarketcap URL,Symbol,Current market capitalization (fully diluted) in USD,Trading volume (24hrs),website link (URL),whitepaper link (URL),Date,NOTES,Other links,DeadCoin Listing,Coinopsy Failure Reason,Value Creation % (less than 100% is value destruction),Volume as % of Raise,Volume as % of Market Cap,,Other research,ValueCreationNorm,Governance Transparency,Voting Eligibility,Decision/voting rights,Decision-making mechanism,Voting delegation,Specific governance roles,Internal on-chain audit,Execution quality KPI accountablity,Community co-creation of projects,Interface for centralized systems
LockChain,,11/30/2017, $ 4.06 ,#REF!,,,,,,,06/06/2021,No information found,,,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Loki,,3/26/2018, $ 9.00 ,#REF!,https://coinpaprika.com/coin/loki-loki/,LOKI,,191320,https://loki.network/,,06/06/2021,,,,,0.00%,2.13%,#DIV/0!,,,1,,,,,,,,,,
LoyalCoin (LYL),,1/31/2018, $ 13.25 ,#REF!,https://coinmarketcap.com/currencies/loyalcoin/,LYL,,1 356.24,https://loyalcoin.io/,,06/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,#VALUE!,#VALUE!,,,1,,,,,,,,,,
Luna (LUNA),,2/8/2018, $ 12.00 ,#REF!,,,,,,,06/06/2021,few coin found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Lunyr,,4/28/2017, $ 5.32 ,#REF!,https://coinmarketcap.com/currencies/lunyr/,LUN,"495,773","5,353",https://lunyr.com/,https://github.com/Lunyr/Lunyr/blob/master/Lunyr_White_Paper_ENG.pdf,06/06/2021,,,,,9.32%,0.10%,1.08%,,,1,,,,,,,,,,
Lykke (1st round),,10/9/2016, $ 1.15 ,#REF!,,,,,,,06/07/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Lykke (2nd round),,2/27/2017, $ 1.97 ,#REF!,,,,,,,06/07/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Lympo,,2/28/2018, $ 16.86 ,#REF!,https://coinmarketcap.com/currencies/lympo/,LYM,"19,269,651","140,381",https://lympo.io/,https://lympo.io/wp-content/uploads/2017/12/whitepaper.pdf?v5,06/06/2021,,,,,114.31%,0.83%,0.73%,,,3,,,,,,,,,,
MAD Network,,1/15/2018, $ 25.00 ,#REF!,https://coinmarketcap.com/currencies/make-a-difference-token/,MAD,"1,693,732","24,232",https://madtoken.org/,https://madtoken.org/wp-content/uploads/2021/05/WHITE-PAPAER.pdf,06/06/2021,Inactive,,,,6.77%,0.10%,1.43%,,,1,,,,,,,,,,
Maecenas (ART),,10/10/2017, $ 15.40 ,#REF!,https://coinmarketcap.com/currencies/maecenas/,ART,"719,769",235,http://www.maecenas.co/,https://www.maecenas.co/Maecenas-WhitePaper.pdf,06/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,4.67%,0.00%,0.03%,,,1,,,,,,,,,,
Mandala,,7/13/2018,18,#REF!,https://coinmarketcap.com/currencies/mandala-exchange-token/,MDX,"47,621,149.87","244,190.26",https://www.mandala.exchange/,,04/06/2021,,,DEAD,,264.56%,1.36%,0.51%,,,3,,,,,,,,,,
Market.Space (MASP),,6/6/2018, $ 15.20 ,#REF!,,,,,,,04/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
MassNetwork,,11/30/2016, $ 0.25 ,#REF!,,,,,,,06/07/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Matchpool,,4/3/2017, $ 5.63 ,#REF!,https://coinmarketcap.com/currencies/guppy/,GUP,,,https://matchpool.co/,https://matchpool.co/wp-content/uploads/2017/04/mp_wp3.pdf,06/07/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
MatrixChain (MAN),,1/17/2018, $ 12.60 ,#REF!,https://coinmarketcap.com/currencies/matrix-ai-network/,MAN,"42,420,389","1,982,027",https://www.matrixchain.io/,https://github.com/MatrixAINetwork/WhitePaper/raw/master/MATRIXTechnicalWhitePaper.pdf,06/06/2021,,,,,336.67%,15.73%,4.67%,,,3,,,,,,,,,,
Matryx,,11/15/2017, $ 1.98 ,#REF!,https://coinmarketcap.com/currencies/matryx/,MTX,"10,674,554","5,030",https://matryx.ai/,https://matryx.ai/matryx-whitepaper.pdf,06/06/2021,,,,,540.37%,0.25%,0.05%,,,3,,,,,,,,,,
MAVRO,,4/15/2018, $ 1.46 ,#REF!,https://coinmarketcap.com/currencies/mavro/,MAVRO,"25,833,648",no data,http://mavro.org/,https://mavro.org/pdf/MAVRO_Whitepaper.pdf,06/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,1768.22%,#VALUE!,#VALUE!,,,4,,,,,,,,,,
MediBloc (MED),,12/15/2017, $ 25.64 ,#REF!,https://coinmarketcap.com/currencies/medibloc/,MED,"571,915,893","132,571",https://medibloc.org/en/,https://medibloc-homepage.oss-us-west-1.aliyuncs.com/whitepaper/medibloc_whitepaper_en.pdf,06/06/2021,,,,,2230.94%,0.52%,0.02%,,,4,,,,,,,,,,
MedicalChain,,2/1/2018, $ 24.00 ,#REF!,https://coinmarketcap.com/currencies/medical-chain/,MTN,"5,454,397.64","148,615.13",https://medicalchain.com/en/,https://medicalchain.com/Medicalchain-Whitepaper-EN.pdf,06/06/2021,,,,,22.73%,0.62%,2.72%,,,1,,,,,,,,,,
Merculet,,5/4/2018, $ 28.69 ,#REF!,https://coinmarketcap.com/currencies/merculet/,MVP,"8,480,714.31","76,142.38",https://www.merculet.io/,https://merculet.io/kr/static/pdf/Merculet_Whitepaper_V0331a-EN.pdf,06/06/2021,,,,,29.56%,0.27%,0.90%,,,1,,,,,,,,,,
Mercury Protocol (GMT),,11/24/2017, $ 7.62 ,#REF!,https://coinpaprika.com/coin/gmt-mercury-protocol/,GMT,"4,968,780.00",64.1,https://www.mercuryprotocol.com/,https://www.mercuryprotocol.com/files/Mercury_Protocol_whitepaper.pdf,06/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,65.23%,0.00%,0.00%,https://coinmarketcap.com/currencies/mercury/,,1,,,,,,,,,,
Metal,,5/26/2017, $ 0.03 ,#REF!,https://coinmarketcap.com/currencies/metal/,MTL,"164,881,862","70,751,571",https://www.metalpay.com/,https://www.metalpay.com/assets/pdf/whitepaper.pdf,06/06/2021,,,,,549606.21%,235838.57%,42.91%,,,4,,,,,,,,,,
Metaverse,,9/5/2016, $ 3.00 ,#REF!,https://coinmarketcap.com/currencies/metaverse/,ETP,"18,896,761","296,085",https://mvs.org/,http://newmetaverse.org/white-paper/Metaverse-white-paper-v2.1-EN.pdf,06/07/2021,,,,,629.89%,9.87%,1.57%,,,3,,,,,,,,,,
MicroMoney,,11/18/2017, $ 10.54 ,#REF!,https://coinmarketcap.com/currencies/micromoney/,AMM,"246,417","130,419",https://www.micromoney.io/,https://www.micromoney.io/MicroMoney_whitepaper_ENG.pdf,06/06/2021,,,DEAD,,2.34%,1.24%,52.93%,,,1,,,,,,,,,,
Midex,,4/15/2018, $ 22.00 ,#REF!,https://coinmarketcap.com/currencies/midex-token/,MDX,,,MDX,https://ico.midex.com/whitepaper_eng.pdf,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Miner One,,5/17/2018, $ 9.10 ,#REF!,,,,,,,05/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
MiniApps,,12/19/2017, $ 5.30 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Mira,,2/28/2018, $ 1.98 ,#REF!,https://coinmarketcap.com/currencies/mirai/,MRI,"16,306",0.21,http://www.mirai.rocks/,,06/06/2021,Inactive,,,,0.82%,0.00%,0.00%,,,1,,,,,,,,,,
Mirocana,,12/19/2017, $ 2.92 ,#REF!,,,,,,,06/06/2021,No information found,,,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
MobileGo,,5/25/2017, $ 53.07 ,#REF!,https://coinmarketcap.com/currencies/mobilego/,MGO,"2,155,648","1,210,267",https://mobilego.io/,https://mobilego.io/whatepaper/MobileGo-Whitepaper.pdf,06/06/2021,,,,,4.06%,2.28%,56.14%,,,1,,,,,,,,,,
MOBILINK COIN,,5/5/2018, $ 5.50 ,#REF!,https://coinmarketcap.com/currencies/mobilinktoken/,MOLK,"7,707,042",no data,https://mobilink.io/,https://mobilink.io/Mobilink-WP-full.pdf,05/06/2021,,,,,140.13%,#VALUE!,#VALUE!,,,3,,,,,,,,,,
Mobius (MOBI),,1/18/2018, $ 39.00 ,#REF!,https://coinmarketcap.com/currencies/mobius/,MOBI,"16,564,304","35,694",https://mobius.network/,https://mobius.network/mobius_white_paper.pdf,06/06/2021,,,,,42.47%,0.09%,0.22%,,,1,,,,,,,,,,
ModulTrade (MTRC),,1/31/2018, $ 11.60 ,#REF!,https://coinmarketcap.com/currencies/modultrade/,MTRC,"118,413.63",,https://modultrade.com/,,06/06/2021,,,,,1.02%,0.00%,0.00%,,,1,,,,,,,,,,
Moeda,,8/31/2017, $ 0.58 ,#REF!,https://coinmarketcap.com/currencies/moeda-loyalty-points/,MDA,"17,325,619","3,445,220",https://moedaseeds.com/,https://moeda.in/whitepaper.pdf,06/06/2021,,,,,2987.18%,594.00%,19.89%,,,4,,,,,,,,,,
Monaco,,6/18/2017, $ 10.29 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Monetha (MTH),,9/30/2017, $ 29.95 ,#REF!,https://coinmarketcap.com/currencies/monetha/,MTH,"12,418,152","2,191,562",https://www.monetha.io/,https://ico.monetha.io/Monetha_WP.pdf,06/06/2021,,,,,41.46%,7.32%,17.65%,,,1,,,,,,,,,,
Money Rebel,,5/15/2018, $ 3.84 ,#REF!,https://coinmarketcap.com/currencies/rebl/,REBL,"70,307.63",0.890943,https://www.rebellious.io/,https://www.rebellious.io/external/REBL-Whitepaper_v2-EN.pdf,05/06/2021,,,,,1.83%,0.00%,0.00%,,,1,,,,,,,,,,
MonsterByte,,8/4/2017, $ 0.97 ,#REF!,https://coinpaprika.com/coin/mbi-monster-byte/,MBI,,9.07,https://monsterbyte.io/,,06/06/2021,,,,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
MOOVER,,4/20/2018, $ 50.92 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Moria (MOR),,2/25/2018, $ 6.00 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Morpheus Labs,,4/16/2018, $ 10.10 ,#REF!,https://coinmarketcap.com/currencies/morpheus-labs/,MITX,"24,326,990","990,836",https://morpheuslabs.io/,https://morpheuslabs.io/whitepaper/ml2019.pdf.,06/06/2021,,,,,240.86%,9.81%,4.07%,,,3,,,,,,,,,,
Morpheus Network,,4/22/2018, $ 7.50 ,#REF!,https://coinmarketcap.com/currencies/morpheus-network/,MRPH,"45,535,769","621,173",https://morpheus.network/,https://morpheus.network/assets/Morpheus.Network_Black_Platform.pdf,06/06/2021,,,,,607.14%,8.28%,1.36%,,,3,,,,,,,,,,
Mossland,,4/18/2018, $ 9.36 ,#REF!,https://www.coingecko.com/en/coins/mossland,MOC,,"8,761,424",http://moss.land/,https://d2vy65gufabiok.cloudfront.net/whitepaper/Mossland+Whitepaper+-+ENG.pdf,06/06/2021,,,,,0.00%,93.60%,#DIV/0!,,,1,,,,,,,,,,
Mothership,,7/16/2017, $ 4.69 ,#REF!,https://coinpaprika.com/coin/msp-mothership/,MSP,"763,120.52",166.76,https://mothership.cx/,https://mothership.cx/documents/whitepaper.pdf,06/06/2021,,,,,16.27%,0.00%,0.02%,,,1,,,,,,,,,,
MSC,,6/10/2018, $ 5.51 ,#REF!,https://coinmarketcap.com/currencies/monster-slayer-finance/,MSC,1.94,"1,820.61",https://www.monsterslayer.finance/,https://monsterslayer.gitbook.io/monsterslayer-finance/,04/06/2021,,,,,0.00%,0.03%,93845.88%,,,1,,,,,,,,,,
Multiversum,,6/25/2018, $ 21.52 ,#REF!,,,,,,,04/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
MUSE,,12/3/2014, $ 0.54 ,#REF!,https://coinmarketcap.com/currencies/muse/,MUSE,"10,167,185","413,701",https://nft20.io/,,06/07/2021,,,,,1882.81%,76.61%,4.07%,,,4,,,,,,,,,,
Musiconomi (MCI),,9/30/2017, $ 6.77 ,#REF!,https://etherscan.io/token/0x138a8752093f4f9a79aaedf48d4b9248fab93c9c,MCI,"136,597.91",,https://musiconomi.com/,https://cofound.it/en/projects/musiconomi/,06/06/2021,,,,,2.02%,0.00%,0.00%,,,1,,,,,,,,,,
MVL Chain,,5/24/2018, $ 9.97 ,#REF!,https://coinmarketcap.com/currencies/mvl/,MVL,"411,460,817","9,952",http://mvlchain.io/,https://mvlchain.io/papers/mvl_token_economy_and_business_model_en.pdf?t=108af,05/06/2021,,,,,4126.99%,0.10%,0.00%,,,4,,,,,,,,,,
Mycelium  (2nd round),,5/17/2016, $ 2.33 ,#REF!,,,,,,,06/07/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Mysterium (1st round),,12/18/2016, $ 0.05 ,#REF!,https://coinmarketcap.com/currencies/mysterium/,MYST,"13,903,584","7,277",https://mysterium.network/,https://mysterium.network/whitepaper.pdf,06/07/2021,,,,,27807.17%,14.55%,0.05%,,,4,,,,,,,,,,
Mysterium Network,,5/30/2017, $ 14.10 ,#REF!,https://coinmarketcap.com/currencies/mysterium/,MYST,"14,620,089","1,549",https://mysterium.network/,https://mysterium.network/whitepaper.pdf,06/06/2021,,,,,103.69%,0.01%,0.01%,,,3,,,,,,,,,,
MyWish,,11/25/2017, $ 2.67 ,#REF!,https://coinmarketcap.com/currencies/mywish/,WISH,"2,489,714","16,820",https://mywish.io/,,06/06/2021,,,,,93.25%,0.63%,0.68%,,,2,,,,,,,,,,
Naga (NGC),,12/15/2017, $ 62.66 ,#REF!,https://coinmarketcap.com/currencies/naga/,NGC,"2,567,593",771,https://www.thenagacoin.com/,https://docsend.com/view/srsg4zw,06/06/2021,,,,,4.10%,0.00%,0.03%,,,1,,,,,,,,,,
NaPoleonX,,2/28/2018, $ 13.95 ,#REF!,https://coinmarketcap.com/currencies/napoleonx/,NPX,"10,496,842",52,https://napoleonx.ai/,https://github.com/ProjectNapoleonX/WhitePapers,06/06/2021,,,,,75.24%,0.00%,0.00%,,,2,,,,,,,,,,
Narrative,,3/30/2018, $ 14.64 ,#REF!,https://coinmarketcap.com/currencies/narrative/,NRVE,"141,354.29",2373.42,https://www.narrative.org/,,06/06/2021,,https://coinpaprika.com/coin/nrve-narrative/,,,0.97%,0.02%,1.68%,,,1,,,,,,,,,,
Nauticus,,7/18/2018,17,#REF!,,,,,,,03/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Nebula AI,,4/20/2018, $ 6.33 ,#REF!,https://coinmarketcap.com/currencies/nebula-ai/,NBAI,,,https://www.nebula-ai.com/,https://www.nebula-ai.com/whitepaper/NBAI_whitepaper_EN.pdf,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Nebulas (NAS),,12/16/2017, $ 60.00 ,#REF!,https://coinmarketcap.com/currencies/nebulas-token/,NAS,"36,869,692","2,829,834",https://nebulas.io/,https://nebulas.io/docs/NebulasWhitepaper.pdf,06/06/2021,,,,,61.45%,4.72%,7.68%,,,1,,,,,,,,,,
Nervos Network (Series A),,7/18/2018,28,#REF!,https://coinmarketcap.com/currencies/nervos-network/,CKB,"606,485,268.51","111,710,044.53",http://nervos.org/,https://github.com/nervosnetwork/rfcs/blob/master/rfcs/0002-ckb/0002-ckb.md,03/06/2021,,,,,2166.02%,398.96%,18.42%,,,4,,,,,,,,,,
Neufund (NEU),,12/17/2017, $ 14.90 ,#REF!,https://coinmarketcap.com/currencies/neumark/,NEU,"278,231,534",608,http://neufund.org/,https://neufund.org/whitepaper,06/06/2021,,,,,1867.91%,0.00%,0.00%,,,4,,,,,,,,,,
NeuroChain,,4/16/2018, $ 26.53 ,#REF!,https://coinmarketcap.com/currencies/neurochain/,NCC,"1,331,202","12,172",https://www.neurochaintech.io/,,06/06/2021,,,,,5.02%,0.05%,0.91%,,,1,,,,,,,,,,
Neuromation,,1/8/2018, $ 71.67 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Nexo,,4/1/2018, $ 50.10 ,#REF!,https://coinmarketcap.com/currencies/nexo/,NEXO,"2,199,525,680","10,981,269",http://nexo.io/,https://nexo.io/assets/downloads/Nexo-Whitepaper.pdf?=a,06/06/2021,,,,,4390.27%,21.92%,0.50%,,,4,,,,,,,,,,
Nimfamoney,,9/30/2017, $ 0.15 ,#REF!,,,,,,,06/06/2021,Inactive,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Nimiq,,7/12/2017, $ 14.53 ,#REF!,https://coinmarketcap.com/currencies/nimiq/,NIM,"137,650,910","813,416",https://nimiq.com/,https://nimiq.com/whitepaper,06/06/2021,,,,,947.36%,5.60%,0.59%,,,3,,,,,,,,,,
Nitro,,12/26/2017, $ 2.69 ,#REF!,https://coinpaprika.com/coin/nox-nitro/,NOX,"1,424.40",165.68,https://www.nitro.live/,,06/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,0.05%,0.01%,11.63%,,,1,,,,,,,,,,
NKN,,4/19/2018, $ 14.20 ,#REF!,https://coinmarketcap.com/currencies/nkn/,NKN,"355,860,064","26,103,184",https://nkn.org/,https://nkn.org/wp-content/uploads/2020/10/NKN_Whitepaper.pdf,06/06/2021,,,,,2506.06%,183.83%,7.34%,,,4,,,,,,,,,,
Node,,4/15/2018, $ 1.15 ,#REF!,,,,,,,06/06/2021,,,,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Nucleus.Vision,,1/28/2018, $ 40.00 ,#REF!,https://coinmarketcap.com/currencies/nucleus-vision/,NCASH,"42,541,679","451,732",https://nucleus.vision/,https://nucleus.vision/mini-whitepaper.pdf?v=1.2.9,06/06/2021,,,,,106.35%,1.13%,1.06%,,,3,,,,,,,,,,
Obits,,1/1/2016, $ 0.30 ,#REF!,https://coinmarketcap.com/currencies/obits/,OBITS,,,http://www.obits.io/,,06/07/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Ocean Protocol (OCN),,3/9/2018, $ 11.10 ,#REF!,https://coinmarketcap.com/currencies/ocean-protocol/,OCEAN,"909,922,707","22,495,953",https://oceanprotocol.com/,https://oceanprotocol.com/tech-whitepaper.pdf,06/06/2021,,,,,8197.50%,202.67%,2.47%,,,4,,,,,,,,,,
ODEM.IO,,3/19/2018, $ 6.90 ,#REF!,https://coinmarketcap.com/currencies/odem/,ODE,"5,219,829","3,229",https://odem.io/,https://odem.io/images/ODEM.IO-Technical-Whitepaper.pdf,06/06/2021,,,,,75.65%,0.05%,0.06%,,,2,,,,,,,,,,
Odyssey,,1/23/2018, $ 50.00 ,#REF!,https://coinmarketcap.com/currencies/odyssey/,OCN,"8,155,970","294,162",http://www.ocnex.net/,http://www.ocoins.cc/pdf/ODYSSEY+WHITEPAPER+V1.3+EN.pdf?v=2018011802,06/06/2021,,,,,16.31%,0.59%,3.61%,,,1,,,,,,,,,,
OFNOG,,7/15/2018,15,#REF!,,,,,,,04/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Olympus Labs (MOT),,1/14/2018, $ 60.00 ,#REF!,https://coinpaprika.com/coin/mot-olympus-labs/,MOT,"89,976.58",18.35,https://olympuslabs.io/,https://olympuslabs.io/whitepaper_v1.5.1.pdf,06/06/2021,,,,,0.15%,0.00%,0.02%,https://coinmarketcap.com/currencies/olympus-labs/,,1,,,,,,,,,,
Omnitude,,6/1/2018, $ 7.50 ,#REF!,https://coinmarketcap.com/currencies/omnitude/,ECOM,"903,183.21","687,372.32",https://omnitude.tech/,https://files.acrobat.com/a/preview/75fe0af9-d98b-4002-863c-138b43a131ef,05/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,12.04%,9.16%,76.11%,,,1,,,,,,,,,,
On-Demand Education Marketplace (ODEM),,3/18/2018, $ 6.89 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
On.Live,,4/11/2018, $ 14.36 ,#REF!,https://coinmarketcap.com/currencies/on-live/,ONL,"1,460,943",no data,https://on.live/,,06/06/2021,,,,,10.17%,#VALUE!,#VALUE!,,,1,,,,,,,,,,
OneGram,,9/10/2017, $ 1.51 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
OnPlace,,7/6/2017, $ 0.92 ,#REF!,,,,,,,06/06/2021,Inactive,,,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Open Platform,,3/24/2018, $ 30.00 ,#REF!,https://coinmarketcap.com/currencies/open-platform/,OPEN,"7,723,809","32,196",https://www.openfuture.io/,http://go.openmoney.digital/l6y5,06/06/2021,,,,,25.75%,0.11%,0.42%,,,1,,,,,,,,,,
Open Platform,,4/17/2018, $ 18.00 ,#REF!,https://coinmarketcap.com/currencies/open-platform/,OPEN,"7,861,092","32,748",https://www.openfuture.io/,http://go.openmoney.digital/l6y5,06/06/2021,,,,,43.67%,0.18%,0.42%,,,1,,,,,,,,,,
Open Product Database,,6/11/2018, $ 2.50 ,#REF!,,,,,,,04/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Open Source University,,7/2/2018,0.5,#REF!,,,,,,,04/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
OpenANX,,7/4/2017, $ 18.76 ,#REF!,https://icomarks.com/ico/openanx,OAX,,"682,002.54",https://www.openanx.org/?utm_source=icomarks,https://www.openanx.org/en/assets/whitepaper/openANX_White_Paper_ENU.pdf,06/06/2021,,,,,0.00%,3.64%,#DIV/0!,,,1,,,,,,,,,,
Opus,,8/24/2017, $ 1.38 ,#REF!,https://coinmarketcap.com/currencies/opus/,OPT,"597,688",3,http://opus-foundation.org/,https://opus-foundation.org/whitepaper.pdf,06/06/2021,,,DEAD,,43.31%,0.00%,0.00%,,,1,,,,,,,,,,
Oracles Network (POA),,11/17/2017, $ 13.37 ,#REF!,https://coinmarketcap.com/currencies/poa/,POA,"10,976,200","578,833",https://poa.network/,https://github.com/poanetwork/wiki/wiki/POA-Network-Whitepaper,06/06/2021,,,,,82.09%,4.33%,5.27%,,,2,,,,,,,,,,
OriginTrail (TRAC),,1/17/2018, $ 22.50 ,#REF!,https://coinmarketcap.com/currencies/origintrail/,TRAC,"156,106,832","924,946",https://origintrail.io/,https://origintrail.io/storage/documents/OriginTrail-White-Paper.pdf,06/06/2021,,,,,693.81%,4.11%,0.59%,,,3,,,,,,,,,,
Orocrypt,,7/14/2017, $ 0.14 ,#REF!,,,,,,,06/06/2021,No information found,,,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Orozu,,5/5/2018, $ 5.02 ,#REF!,,,,,,,05/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Otppay,,6/8/2018, $ 1.38 ,#REF!,,,,,,,04/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Oxycoin (OXY),,10/1/2017, $ 6.25 ,#REF!,https://coinmarketcap.com/currencies/oxycoin/,OXY,,,https://oxycoin.io/,https://oxycoin.io/downloads/whitepaper.pdf,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Pally (PAL),,12/13/2017, $ 1.18 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Paquarium,,8/24/2017, $ 0.62 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Paragon,,10/16/2017, $ 94.58 ,#REF!,https://etherscan.io/token/0x7728dFEF5aBd468669EB7f9b48A7f70a501eD29D,PRG,"469,812.28",2.45,https://paragoncoin.com/,https://paragoncoin.com/whitepaper.pdf,06/06/2021,,,DEAD,,0.50%,0.00%,0.00%,https://coinmarketcap.com/currencies/paragon/,,1,,,,,,,,,,
Pareto (PARETO),,1/16/2018, $ 10.00 ,#REF!,https://coinpaprika.com/coin/pareto-pareto-network/,PARETO,"117,445.00",4.57,https://pareto.network/,https://pareto.network/download/Pareto-Technical-White-Paper.pdf,06/06/2021,,,DEAD,,1.17%,0.00%,0.00%,https://coinmarketcap.com/currencies/pareto-rewards/,,1,,,,,,,,,,
PARKGENE,,3/19/2018, $ 29.50 ,#REF!,https://coinmarketcap.com/currencies/parkgene/,GENE,"518,769.00",,https://parkgene.io/,https://parkgene.io/#download-whitepaper-docs,06/06/2021,,,DEAD,,1.76%,0.00%,0.00%,,,1,,,,,,,,,,
Patientory,,6/3/2017, $ 6.52 ,#REF!,https://coinmarketcap.com/currencies/patientory/,PTOY,"2,082,971","21,419",https://patientory.com/,https://github.com/PTOYNetwork,06/06/2021,,,,,31.95%,0.33%,1.03%,,,1,,,,,,,,,,
Patron,,5/9/2018, $ 40.00 ,#REF!,https://coinmarketcap.com/currencies/patron/,"PAT

","3,026,530","6,272",https://patron-influencers.com/,https://patron-ico.io/doc/patron-wp-en-01-20180423.pdf,05/06/2021,,,,,7.57%,0.02%,0.21%,,,1,,,,,,,,,,
Paycent,,11/30/2017, $ 15.53 ,#REF!,https://coinmarketcap.com/currencies/paycent/,PYN,"255,078",531,https://paycent.com/,https://paycent.com/wp-content/uploads/2017/09/PYN-Whitepaper.pdf,06/06/2021,,,DEAD,,1.64%,0.00%,0.21%,,,1,,,,,,,,,,
PAYERA,,7/30/2018,4.33,#REF!,,,,,,,03/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
PayPie,,10/8/2017, $ 26.00 ,#REF!,https://coinmarketcap.com/currencies/paypie/,PPP,"4,690,447",no data,https://www.paypie.bb/,https://www.paypie.bb/content/uploads/Whitepaper.pdf,06/06/2021,,,,Main reasons for dead coin listing Abandoned or No Volume.,18.04%,#VALUE!,#VALUE!,,,1,,,,,,,,,,
PCHAIN,,5/28/2018, $ 26.67 ,#REF!,https://coinpaprika.com/coin/pai-pchain/,PI,"43,415,484.00",188316,https://pchain.org/,,05/06/2021,,,,,162.79%,0.71%,0.43%,,,3,,,,,,,,,,
PDX,,7/18/2018,9.58,#REF!,https://coinmarketcap.com/currencies/payday-coin/,PDX,,,https://paydaycoin.io/,,03/06/2021,No information found,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Pecunio,,4/19/2018, $ 20.54 ,#REF!,https://coinmarketcap.com/currencies/pecunio/,PCO,,,https://pecun.io/,https://pecun.io/Pecunio_White_Paper.pdf,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
